#MPRN: 10005062961
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2025-05-02,0.3335,0.237,0.413,0.135,0.5255,0.1015,0.088,0.095,0.1055,0.083,0.12,0.1025,0.078,0.009,0.002,0.0875,0.0005,0.0005,0.001,0.053,0,0.0005,0,0.047,0.0005,0.017,0.222,0.002,0.0635,0.0325,0.0005,0,0.004,0.0485,0.079,0.0625,0.051,0.1125,0.4175,0.628,0.304,0.386,0.45,0.2335,0.1925,0.4685,0.42,0.5215
2025-05-03,0.267,0.4305,0.576,0.201,0.104,0.4955,0.112,0.091,0.0925,0.0795,0.0945,0.101,0.0365,0.0075,0.0015,0.0015,0.0005,0.0005,0.0005,0.0005,0,0.1055,0.034,0.0025,0.0015,0.4385,0.102,0.023,0.242,0.028,0.0015,0.31,0.363,0.195,0.012,0.039,0.0885,0.056,0.461,0.3445,0.2735,0.2035,0.326,0.2855,0.3635,0.388,0.4235,0.7345
2025-05-04,0.4455,0.779,0.391,0.199,0.1365,0.119,0.117,0.1165,0.0955,0.123,0.109,0.0895,0.0255,0.007,0.0015,0.0015,0.002,0.0025,0.003,0.0005,0.108,0,0.029,0.103,0,0.006,0.0015,0,0,0.3385,0,0.027,0.0075,0.004,0,0.0065,0.039,0.0545,0.678,0.613,0.8135,0.63,0.449,0.306,0.223,0.271,0.2815,0.192
2025-05-05,0.2095,0.223,0.2495,0.5365,0.1135,0.3545,0.2875,0.0975,0.0925,0.0885,0.105,0.0835,0.041,0.036,0.006,0.0045,0.001,0,0.001,0,0.001,0.051,0,0.0185,0.002,0.005,0.001,0.2485,0.0025,0.21,0,0.001,0.0025,0,0.012,0.0535,0.0555,0.6915,0.355,0.1475,0.303,0.3325,0.329,0.252,0.2285,0.2715,0.213,0.1395
2025-05-06,0.5275,0.0955,0.1955,0.4735,0.082,0.0805,0.1,0.0865,0.0835,0.0905,0.094,0.0755,0.0065,0.0005,0.0005,0.006,0,0,0.0005,0,0,0,0.0145,0,0,0,0,0.0005,0,0,0.0495,0,0.001,0.0005,0,0.002,0.152,0.105,0.113,0.1275,0.1005,0.2865,0.262,0.261,0.364,0.242,0.2665,0.528
2025-05-07,0.205,0.12,0.097,0.109,0.074,0.105,0.098,0.066,0.099,0.085,0.073,0.0905,0.025,0.0005,0.1275,0.715,0.013,0.005,0.088,0.1165,0.1035,0,0.0005,0.022,0.1015,0.019,0.001,0.002,0.0005,0.0325,0.0815,0.059,0.0005,0.0005,0.001,0.0015,0.0135,0.02,0.5665,0.176,0.167,0.3065,0.21,0.2405,0.265,0.2205,0.2075,0.2175
2025-05-08,0.4305,0.194,0.136,0.0985,0.0995,0.0895,0.0955,0.088,0.0915,0.078,0.0955,0.069,0.0115,0.035,0.009,0.001,0.0015,0.001,0.054,0.0295,0,0.001,0,0.001,0,0,0.042,0.1875,0.029,0.0415,0,0.0005,0,0,0.002,0.023,0.4485,0.456,0.091,0.0685,0.078,0.346,0.284,0.306,0.2885,0.25,0.3045,0.298
2025-05-09,0.322,0.1395,0.507,0.1075,0.3015,0.3155,0.0875,0.079,0.1,0.075,0.0875,0.0865,0.001,0.0005,0.0005,0.0645,0,0,0,0,0,0.014,0,0,0,0,0,0.251,0.0005,0.03,0,0.0015,0.0005,0.046,0.0215,0.1505,0.063,0.647,0.656,0.3515,0.169,0.1795,0.2095,0.21,0.2655,0.271,0.4445,0.195
2025-05-10,0.2325,0.5115,0.123,0.099,0.512,0.1005,0.0705,0.11,0.088,0.074,0.1005,0.078,0.0495,0.023,0.0015,0.0005,0.0005,0,0,0,0.025,0,0.0285,0,0,0,0,0.0695,0.032,0,0,0.0005,0.0005,0,0.0725,0.015,0.033,0.964,0.398,0.165,0.1535,0.151,0.169,0.2045,0.2375,0.224,0.2415,0.319
2025-05-11,0.362,0.2695,0.1335,0.226,0.536,0.382,0.294,0.089,0.102,0.0985,0.0815,0.0905,0.0065,0.0005,0.0005,0.0005,0,0.0005,0.0005,0,0,0.038,0.0115,0,0,0,0.0005,0,0,0.0115,0.01,0.02,0.0975,0.001,0,0.0355,0.0715,0.6665,0.6205,0.494,0.31,0.3455,0.3185,0.5455,0.278,0.298,0.2815,0.289
2025-05-12,0.2355,0.498,0.107,0.295,0.2905,0.1065,0.069,0.0965,0.1005,0.0795,0.1015,0.082,0.0545,0.0475,0.094,0.2515,0.088,0.076,0.0715,0.058,0.1195,0.028,0.0055,0,0,0.0305,0.2175,0.004,0.0005,0,0.0795,0,0,0.0015,0.003,0.073,0.098,0.148,0.164,0.553,0.582,0.2655,0.219,0.2265,0.2745,0.27,0.2965,0.295
2025-05-13,0.6385,0.414,0.295,0.101,0.0965,0.113,0.0785,0.111,0.109,0.0875,0.105,0.076,0.007,0.0005,0.0005,0.078,0.005,0,0.0005,0.051,0,0.017,0,0,0,0,0.0755,0.0705,0,0.041,0,0.0005,0.0005,0.0005,0.0315,0.122,0.108,0.5535,0.7675,0.117,0.2235,0.177,0.358,0.9,0.6775,0.2445,0.3545,0.2675
2025-05-14,0.517,0.586,0.1185,0.0755,0.1095,0.0995,0.092,0.102,0.1005,0.1125,0.0855,0.067,0.013,0.001,0.004,0.061,0.001,0.014,0.035,0,0,0,0,0.022,0,0,0.0335,0.1065,0.0005,0.0905,0,0.0005,0,0,0.0015,0.0825,0.0725,0.076,0.237,0.1595,0.1075,0.126,0.2155,0.199,0.2765,0.181,0.615,0.6875
